Date,Revenue,Expenses,Department,Region,Product Line,Expense Category,Client ID
2025-01-01,3023.17,0.0,Marketing,South,Consulting Services,Salaries,CL-084
2025-01-01,1702.79,0.0,Engineering,East,Software Licenses,Software Subscriptions,CL-089
2025-01-01,6930.28,364.57,Marketing,North,Software Licenses,Software Subscriptions,CL-031
2025-01-01,4271.89,0.0,Marketing,North,Consulting Services,Salaries,CL-028
2025-01-01,8270.53,0.0,Engineering,North,Hardware Systems,Hardware Servers,CL-042
2025-01-02,6041.92,1808.51,HR,North,Consulting Services,Salaries,CL-042
2025-01-02,2594.85,0.0,Operations,South,Cloud Subscriptions,Utilities,CL-031
2025-01-02,3835.68,0.0,Engineering,West,Cloud Subscriptions,Hardware Servers,CL-084
2025-01-02,0.0,1079.17,Operations,North,Cloud Subscriptions,Office Supplies,
2025-01-02,6758.68,1156.85,Engineering,East,Cloud Subscriptions,Software Subscriptions,CL-030
2025-01-02,9564.92,0.0,Operations,North,Cloud Subscriptions,Rent,CL-084
2025-01-02,0.0,558.52,HR,South,Software Licenses,Software Subscriptions,
2025-01-02,6616.92,0.0,Sales,West,Cloud Subscriptions,Software Subscriptions,CL-086
2025-01-02,11274.79,1249.92,Operations,West,Software Licenses,Salaries,CL-077
2025-01-03,2862.49,0.0,Engineering,West,Consulting Services,Salaries,CL-071
2025-01-03,2057.97,0.0,Engineering,South,Hardware Systems,Hardware Servers,CL-074
2025-01-03,7964.12,2349.32,Operations,North,Consulting Services,Utilities,CL-001
2025-01-03,5661.47,3740.43,Engineering,West,Hardware Systems,Training,CL-017
2025-01-03,5699.85,0.0,HR,East,Software Licenses,Benefits,CL-017
2025-01-03,0.0,206.83,HR,East,Software Licenses,Benefits,
2025-01-03,0.0,439.93,Engineering,North,Cloud Subscriptions,Hardware Servers,
2025-01-03,6529.68,0.0,Engineering,West,Cloud Subscriptions,Software Subscriptions,CL-084
2025-01-04,0.0,2190.62,Marketing,North,Hardware Systems,Software Subscriptions,
2025-01-04,0.0,519.68,HR,East,Consulting Services,Software Subscriptions,
2025-01-04,4059.19,0.0,HR,West,Hardware Systems,Salaries,CL-089
2025-01-04,0.0,850.0,Marketing,West,Software Licenses,Salaries,
2025-01-04,0.0,3882.47,Marketing,West,Hardware Systems,Events,
